cycle,tile_id,label,right_faction,front_faction,front_confidence,front_margin,back_faction,back_confidence,back_margin,front_back_agree,needs_review,template_source,preview_path,note
c1,056,056,,hornsworn,0.493,0.044,hornsworn,0.484,0.085,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-056.png,
c1,057,057,,hornsworn,0.481,0.032,hornsworn,0.471,0.111,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-057.png,
c1,058,058,,hornsworn,0.527,0.053,hornsworn,0.477,0.088,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-058.png,
c1,059,059,,hornsworn,0.482,0.028,hornsworn,0.493,0.092,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-059.png,
c1,060,060,minoians,minoians,1.000,0.473,minoians,1.000,0.520,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-060.png,
c1,T00,T00,none,minoians,0.358,0.000,none,0.379,0.065,,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-T00.png,special_no_faction
c1,T06,T06,,minoians,0.550,0.071,minoians,0.779,0.247,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-T06.png,
c1,T01,T01,,hornsworn,0.425,0.042,minoians,0.385,0.029,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-T01.png,
c1,T02,T02,,hornsworn,0.418,0.034,hornsworn,0.348,0.050,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-T02.png,
c1,021,021,minoians,minoians,0.860,0.318,minoians,0.901,0.432,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-021.png,
c1,T03,T03,,minoians,0.386,0.063,hornsworn,0.391,0.071,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-T03.png,
c1,022,022,minoians,minoians,0.596,0.107,minoians,0.855,0.404,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-022.png,
c1,T04,T04,,hornsworn,0.370,0.007,hornsworn,0.401,0.012,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-T04.png,
c1,023,023,,hornsworn,0.512,0.034,hornsworn,0.467,0.024,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-023.png,
c1,024,024,,hornsworn,0.564,0.067,hornsworn,0.503,0.107,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-024.png,
c1,025,025,,labyrinthians,0.599,0.001,hornsworn,0.490,0.135,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-025.png,
c1,061,061,,hornsworn,0.603,0.012,hornsworn,0.474,0.044,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-061.png,
c1,062,062,,hornsworn,0.548,0.017,hornsworn,0.493,0.061,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-062.png,
c1,063,063,,hornsworn,0.504,0.026,hornsworn,0.491,0.100,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-063.png,
c1,064,064,,hornsworn,0.515,0.029,hornsworn,0.495,0.088,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-064.png,
c1,065,065,minoians,minoians,0.598,0.110,minoians,0.825,0.334,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-065.png,
c1,026,026,minoians,minoians,0.925,0.390,minoians,0.780,0.295,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-026.png,
c1,027,027,minoians,minoians,1.000,0.424,minoians,1.000,0.482,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-027.png,
c1,028,028,minoians,minoians,0.650,0.125,minoians,0.723,0.200,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-028.png,
c1,029,029,,hornsworn,0.516,0.062,hornsworn,0.483,0.041,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-029.png,
c1,030,030,,hornsworn,0.522,0.049,hornsworn,0.513,0.109,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-030.png,
c1,066,066,minoians,minoians,0.665,0.149,minoians,0.745,0.221,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-066.png,
c1,067,067,,hornsworn,0.497,0.040,hornsworn,0.484,0.085,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-067.png,
c1,068,068,,hornsworn,0.488,0.040,hornsworn,0.488,0.090,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-068.png,
c1,069,069,,hornsworn,0.556,0.089,hornsworn,0.496,0.020,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-069.png,
c1,070,070,hornsworn,hornsworn,0.846,0.352,hornsworn,0.795,0.344,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-070.png,
c1,031,031,hornsworn,hornsworn,0.788,0.305,hornsworn,0.581,0.115,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-031.png,
c1,032,032,,minoians,0.599,0.111,hornsworn,0.731,0.276,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-032.png,
c1,033,033,minoians,minoians,0.770,0.223,minoians,0.600,0.105,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-033.png,
c1,034,034,,minoians,0.855,0.300,hornsworn,0.432,0.022,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-034.png,
c1,035,035,,hornsworn,0.531,0.025,labyrinthians,0.544,0.036,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-035.png,
c1,071,071,minoians,minoians,0.856,0.283,minoians,0.729,0.230,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-071.png,
c1,072,072,,minoians,0.555,0.056,minoians,0.831,0.355,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-072.png,
c1,073,073,minoians,minoians,1.000,0.442,minoians,1.000,0.528,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-073.png,
c1,074,074,minoians,minoians,0.885,0.344,minoians,0.869,0.377,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-074.png,
c1,075,075,hornsworn,hornsworn,1.000,0.506,hornsworn,1.000,0.547,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-075.png,
c1,036,036,,minoians,0.469,0.022,hornsworn,0.892,0.439,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-036.png,
c1,037,037,hornsworn,hornsworn,0.800,0.306,hornsworn,0.806,0.354,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-037.png,
c1,038,038,hornsworn,hornsworn,0.710,0.220,hornsworn,0.819,0.378,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-038.png,
c1,039,039,hornsworn,hornsworn,0.734,0.242,hornsworn,0.917,0.465,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-039.png,
c1,040,040,hornsworn,hornsworn,0.618,0.122,hornsworn,0.873,0.425,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-040.png,
c1,076,076,hornsworn,hornsworn,0.794,0.303,hornsworn,0.836,0.377,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-076.png,
c1,077,077,hornsworn,hornsworn,0.774,0.298,hornsworn,0.553,0.123,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-077.png,
c1,078,078,hornsworn,hornsworn,0.808,0.336,hornsworn,0.730,0.283,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-078.png,
c1,079,079,hornsworn,hornsworn,0.648,0.187,hornsworn,0.576,0.126,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-079.png,
c1,080,080,,hornsworn,0.707,0.242,hornsworn,0.534,0.079,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c1-080.png,
c2,001,001,cyclopes,cyclopes,0.888,0.368,cyclopes,0.961,0.471,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-001.png,
c2,002,002,cyclopes,cyclopes,0.893,0.378,cyclopes,0.812,0.350,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-002.png,
c2,003,003,cyclopes,cyclopes,0.887,0.368,cyclopes,0.859,0.390,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-003.png,
c2,004,004,cyclopes,cyclopes,1.000,0.491,cyclopes,1.000,0.514,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-004.png,
c2,005,005,cyclopes,cyclopes,0.895,0.372,cyclopes,0.870,0.398,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-005.png,
c2,006,006,cyclopes,cyclopes,0.835,0.337,cyclopes,0.927,0.451,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-006.png,
c2,007,007,symmachy,symmachy,0.711,0.223,symmachy,0.630,0.188,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-007.png,
c2,008,008,symmachy,symmachy,1.000,0.514,symmachy,1.000,0.585,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-008.png,
c2,009,009,cyclopes,cyclopes,0.628,0.120,cyclopes,0.951,0.455,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-009.png,
c2,010,010,,cyclopes,0.571,0.040,cyclopes,0.876,0.402,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-010.png,
c2,011,011,cyclopes,cyclopes,0.648,0.157,cyclopes,0.953,0.455,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-011.png,
c2,012,012,cyclopes,cyclopes,0.636,0.144,cyclopes,0.768,0.307,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-012.png,
c2,013,013,,symmachy,0.412,0.006,helots,0.540,0.166,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-013.png,
c2,014,014,symmachy,symmachy,0.811,0.298,symmachy,0.634,0.233,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-014.png,
c2,015,015,symmachy,symmachy,0.812,0.303,symmachy,0.644,0.274,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-015.png,
c2,016,016,,cyclopes,0.776,0.291,symmachy,0.468,0.069,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-016.png,
c2,017,017,,cyclopes,0.593,0.063,cyclopes,0.972,0.488,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-017.png,
c2,018,018,,cyclopes,0.546,0.029,cyclopes,0.967,0.469,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-018.png,
c2,019,019,,cyclopes,0.479,0.065,cyclopes,0.409,0.070,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-019.png,
c2,020,020,,helots,0.418,0.005,helots,0.633,0.235,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-020.png,
c2,021,021,,helots,0.426,0.031,helots,0.913,0.539,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-021.png,
c2,022,022,symmachy,symmachy,0.749,0.241,symmachy,0.555,0.196,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-022.png,
c2,023,023,cyclopes,cyclopes,0.820,0.319,cyclopes,0.976,0.472,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-023.png,
c2,024,024,,cyclopes,0.814,0.326,cyclopes,0.396,0.049,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-024.png,
c2,025,025,,helots,0.455,0.035,helots,0.682,0.275,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-025.png,
c2,026,026,helots,helots,1.000,0.585,helots,1.000,0.606,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-026.png,
c2,027,027,,helots,0.461,0.057,helots,0.737,0.369,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-027.png,
c2,028,028,symmachy,symmachy,0.818,0.306,symmachy,0.621,0.213,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-028.png,
c2,029,029,symmachy,symmachy,0.798,0.284,symmachy,0.594,0.205,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-029.png,
c2,030,030,cyclopes,cyclopes,0.673,0.173,cyclopes,0.951,0.444,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-030.png,
c2,031,031,,cyclopes,0.835,0.330,cyclopes,0.466,0.133,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-031.png,
c2,032,032,,helots,0.465,0.066,helots,0.895,0.503,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-032.png,
c2,033,033,helots,helots,1.000,0.603,helots,1.000,0.631,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-033.png,
c2,034,034,helots,helots,1.000,0.586,helots,1.000,0.618,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-034.png,
c2,035,035,symmachy,symmachy,0.864,0.384,symmachy,0.605,0.207,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-035.png,
c2,036,036,symmachy,symmachy,0.805,0.294,symmachy,0.554,0.182,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-036.png,
c2,037,037,cyclopes,cyclopes,1.000,0.514,cyclopes,1.000,0.511,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-037.png,
c2,038,038,,cyclopes,0.415,0.001,helots,0.821,0.437,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-038.png,
c2,039,039,,helots,0.496,0.099,helots,0.849,0.468,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-039.png,
c2,040,040,,symmachy,0.734,0.228,symmachy,0.426,0.130,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-040.png,
c2,041,041,symmachy,symmachy,0.737,0.235,symmachy,0.673,0.235,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-041.png,
c2,042,042,,symmachy,0.778,0.268,symmachy,0.500,0.114,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-042.png,
c2,043,043,cyclopes,cyclopes,0.849,0.343,cyclopes,0.945,0.439,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-043.png,
c2,044,044,,cyclopes,0.491,0.044,cyclopes,0.966,0.472,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-044.png,
c2,045,045,cyclopes,cyclopes,0.683,0.226,cyclopes,0.967,0.477,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-045.png,
c2,046,046,,symmachy,0.417,0.007,helots,0.890,0.523,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-046.png,
c2,047,047,,symmachy,0.428,0.004,helots,0.894,0.492,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-047.png,
c2,048,048,,helots,0.523,0.139,helots,0.874,0.480,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-048.png,
c2,049,049,symmachy,symmachy,1.000,0.482,symmachy,1.000,0.608,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-049.png,
c2,050,050,cyclopes,cyclopes,1.000,0.479,cyclopes,1.000,0.511,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-050.png,
c2,051,051,cyclopes,cyclopes,0.708,0.222,cyclopes,0.782,0.320,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-051.png,
c2,052,052,,cyclopes,0.423,0.006,helots,0.867,0.506,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-052.png,
c2,053,053,,helots,0.431,0.035,helots,0.830,0.434,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-053.png,
c2,054,054,,helots,0.438,0.022,helots,0.795,0.419,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-054.png,
c2,055,055,,symmachy,0.727,0.220,symmachy,0.428,0.132,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-055.png,
c2,056,056,symmachy,symmachy,0.722,0.234,symmachy,0.587,0.161,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-056.png,
c2,057,057,cyclopes,cyclopes,1.000,0.512,cyclopes,1.000,0.500,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-057.png,
c2,058,058,cyclopes,cyclopes,1.000,0.488,cyclopes,1.000,0.506,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-058.png,
c2,059,059,,helots,0.449,0.044,helots,0.925,0.527,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-059.png,
c2,060,060,helots,helots,0.568,0.190,helots,0.753,0.352,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-060.png,
c2,061,061,,helots,0.525,0.118,helots,0.890,0.506,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-061.png,
c2,062,062,symmachy,symmachy,0.728,0.228,symmachy,0.590,0.193,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-062.png,
c2,063,063,symmachy,symmachy,0.735,0.228,symmachy,0.692,0.273,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-063.png,
c2,064,064,cyclopes,cyclopes,1.000,0.492,cyclopes,1.000,0.505,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-064.png,
c2,065,065,cyclopes,cyclopes,1.000,0.502,cyclopes,1.000,0.501,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-065.png,
c2,066,066,,cyclopes,0.459,0.002,cyclopes,0.964,0.466,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-066.png,
c2,067,067,,cyclopes,0.848,0.344,cyclopes,0.413,0.056,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-067.png,
c2,068,068,,helots,0.461,0.046,helots,0.853,0.466,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-068.png,
c2,069,069,symmachy,symmachy,0.728,0.226,symmachy,0.579,0.183,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-069.png,
c2,070,070,symmachy,symmachy,1.000,0.502,symmachy,1.000,0.589,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-070.png,
c2,071,071,symmachy,symmachy,0.732,0.227,symmachy,0.559,0.134,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-071.png,
c2,072,072,cyclopes,cyclopes,1.000,0.512,cyclopes,1.000,0.500,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-072.png,
c2,073,073,,helots,0.518,0.115,helots,0.809,0.409,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-073.png,
c2,074,074,,helots,0.523,0.158,helots,0.784,0.398,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-074.png,
c2,075,075,symmachy,symmachy,1.000,0.505,symmachy,1.000,0.549,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-075.png,
c2,076,076,symmachy,symmachy,1.000,0.518,symmachy,1.000,0.576,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-076.png,
c2,077,077,,symmachy,0.696,0.212,symmachy,0.543,0.137,,yes,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-077.png,
c2,078,078,symmachy,symmachy,0.705,0.219,symmachy,0.615,0.192,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-078.png,
c2,079,079,symmachy,symmachy,1.000,0.502,symmachy,1.000,0.613,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-079.png,
c2,080,080,symmachy,symmachy,1.000,0.506,symmachy,1.000,0.599,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-080.png,
c2,081,081,helots,helots,0.558,0.144,helots,0.625,0.304,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-081.png,
c2,082,082,symmachy,symmachy,0.716,0.226,symmachy,0.582,0.226,yes,,secondary,D:\download\ato2\ATO\tools\map-faction-right-auto\crops\c2-082.png,
