cycle,tile_id,label,front,factions,faction_labels_zh,faction_labels_en,marker_count,confidence,right_inner_faction,right_inner_faction_zh,right_inner_faction_en,right_inner_score,right_inner_second,right_inner_second_score,right_inner_ink_ratio,right_inner_box_score,right_inner_confidence,right_inner_duplicate_suppressed,right_outer_faction,right_outer_faction_zh,right_outer_faction_en,right_outer_score,right_outer_second,right_outer_second_score,right_outer_ink_ratio,right_outer_box_score,right_outer_confidence,right_outer_duplicate_suppressed
c1,019,019,D:\download\ato2\ATO\map\images\c1-tile-019-front.jpg,hornsworn,角誓者,Hornsworn,1,low,,,,0.5576,minoians,0.5634,0.6508,0.0106,none,False,hornsworn,角誓者,Hornsworn,0.3452,labyrinthians,0.3639,0.3001,0.5553,low,False
c1,020,020,D:\download\ato2\ATO\map\images\c1-tile-020-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.3716,hornsworn,0.3861,0.4031,0.4816,none,True,labyrinthians,迷宫徒,Labyrinthians,0.3668,hornsworn,0.3683,0.3115,0.5773,low,False
c1,056,056,D:\download\ato2\ATO\map\images\c1-tile-056-front.jpg,"labyrinthians,minoians",迷宫徒、米诺斯人,"Labyrinthians, Minoans",2,low,labyrinthians,迷宫徒,Labyrinthians,0.3508,hornsworn,0.3709,0.3898,0.4806,medium,False,minoians,米诺斯人,Minoans,0.4122,hornsworn,0.4187,0.319,0.5797,low,False
c1,057,057,D:\download\ato2\ATO\map\images\c1-tile-057-front.jpg,"labyrinthians,minoians",迷宫徒、米诺斯人,"Labyrinthians, Minoans",2,low,labyrinthians,迷宫徒,Labyrinthians,0.314,hornsworn,0.336,0.3693,0.4778,medium,False,minoians,米诺斯人,Minoans,0.4246,labyrinthians,0.4256,0.3255,0.5631,low,False
c1,058,058,D:\download\ato2\ATO\map\images\c1-tile-058-front.jpg,"labyrinthians,hornsworn",迷宫徒、角誓者,"Labyrinthians, Hornsworn",2,low,labyrinthians,迷宫徒,Labyrinthians,0.3992,hornsworn,0.415,0.4161,0.4761,low,False,hornsworn,角誓者,Hornsworn,0.3574,minoians,0.3786,0.2958,0.5849,medium,False
c1,059,059,D:\download\ato2\ATO\map\images\c1-tile-059-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.6266,minoians,0.69,0.9237,0.0233,none,False,minoians,米诺斯人,Minoans,0.4424,labyrinthians,0.4513,0.3686,0.5328,low,False
c1,060,060,D:\download\ato2\ATO\map\images\c1-tile-060-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.4999,minoians,0.5251,0.7085,0.0082,none,False,minoians,米诺斯人,Minoans,0.3352,labyrinthians,0.3752,0.259,0.5512,medium,False
c1,T00,T00,D:\download\ato2\ATO\map\images\c1-tile-T00-front.jpg,hornsworn,角誓者,Hornsworn,1,forced,,,,0.6388,minoians,0.7063,0.965,0.0044,none,False,hornsworn,角誓者,Hornsworn,0.6156,minoians,0.6819,0.8628,0.0002,forced,False
c1,T06,T06,D:\download\ato2\ATO\map\images\c1-tile-T06-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.6007,minoians,0.6451,0.7749,0.0242,none,False,minoians,米诺斯人,Minoans,0.3947,labyrinthians,0.4366,0.3762,0.539,low,False
c1,T01,T01,D:\download\ato2\ATO\map\images\c1-tile-T01-front.jpg,hornsworn,角誓者,Hornsworn,1,forced,,,,0.6221,minoians,0.6824,0.8562,0.0052,none,False,hornsworn,角誓者,Hornsworn,0.6203,minoians,0.6781,0.8929,0.0019,forced,False
c1,T02,T02,D:\download\ato2\ATO\map\images\c1-tile-T02-front.jpg,hornsworn,角誓者,Hornsworn,1,forced,,,,0.6155,minoians,0.6852,0.9593,0.0004,none,False,hornsworn,角誓者,Hornsworn,0.5889,minoians,0.6243,0.8587,0.0214,forced,False
c1,021,021,D:\download\ato2\ATO\map\images\c1-tile-021-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.5747,hornsworn,0.5809,0.6294,0.0071,none,False,minoians,米诺斯人,Minoans,0.3268,labyrinthians,0.3749,0.2648,0.5527,medium,False
c1,T03,T03,D:\download\ato2\ATO\map\images\c1-tile-T03-front.jpg,hornsworn,角誓者,Hornsworn,1,forced,,,,0.6222,minoians,0.6844,0.908,0.0005,none,False,hornsworn,角誓者,Hornsworn,0.6225,minoians,0.6637,0.8943,0.0011,forced,False
c1,022,022,D:\download\ato2\ATO\map\images\c1-tile-022-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.6058,minoians,0.6427,0.8173,0.0218,none,False,minoians,米诺斯人,Minoans,0.3746,labyrinthians,0.4152,0.3427,0.5427,medium,False
c1,T04,T04,D:\download\ato2\ATO\map\images\c1-tile-T04-front.jpg,hornsworn,角誓者,Hornsworn,1,forced,,,,0.6272,minoians,0.6874,0.9128,0.0015,none,False,hornsworn,角誓者,Hornsworn,0.6029,minoians,0.6607,0.8398,0.0124,forced,False
c1,023,023,D:\download\ato2\ATO\map\images\c1-tile-023-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,labyrinthians,迷宫徒,Labyrinthians,0.3749,hornsworn,0.3897,0.4107,0.4766,low,False,,,,0.4099,minoians,0.4204,0.3492,0.5644,none,True
c1,024,024,D:\download\ato2\ATO\map\images\c1-tile-024-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,medium,,,,0.3861,minoians,0.4022,0.411,0.481,none,True,labyrinthians,迷宫徒,Labyrinthians,0.3478,hornsworn,0.377,0.3109,0.5712,medium,False
c1,025,025,D:\download\ato2\ATO\map\images\c1-tile-025-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,medium,,,,0.4185,minoians,0.4401,0.4378,0.4809,none,True,labyrinthians,迷宫徒,Labyrinthians,0.3457,minoians,0.3895,0.3233,0.5819,medium,False
c1,061,061,D:\download\ato2\ATO\map\images\c1-tile-061-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,medium,,,,0.4257,minoians,0.4464,0.4432,0.4786,none,True,labyrinthians,迷宫徒,Labyrinthians,0.3478,minoians,0.4026,0.3351,0.5837,medium,False
c1,062,062,D:\download\ato2\ATO\map\images\c1-tile-062-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,labyrinthians,迷宫徒,Labyrinthians,0.3572,hornsworn,0.3682,0.3844,0.4802,low,False,,,,0.406,minoians,0.4169,0.3156,0.5651,none,True
c1,063,063,D:\download\ato2\ATO\map\images\c1-tile-063-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,labyrinthians,迷宫徒,Labyrinthians,0.3636,hornsworn,0.3805,0.402,0.4772,low,False,,,,0.4005,hornsworn,0.4098,0.3342,0.568,none,True
c1,064,064,D:\download\ato2\ATO\map\images\c1-tile-064-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.5959,minoians,0.669,0.8506,0.0123,none,False,labyrinthians,迷宫徒,Labyrinthians,0.3824,hornsworn,0.4145,0.329,0.5599,low,False
c1,065,065,D:\download\ato2\ATO\map\images\c1-tile-065-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.6339,minoians,0.7028,0.9698,0.0148,none,False,minoians,米诺斯人,Minoans,0.3685,labyrinthians,0.3977,0.3285,0.5366,medium,False
c1,026,026,D:\download\ato2\ATO\map\images\c1-tile-026-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.6191,minoians,0.6803,0.8542,0.0065,none,False,minoians,米诺斯人,Minoans,0.3012,labyrinthians,0.3776,0.3238,0.5318,medium,False
c1,027,027,D:\download\ato2\ATO\map\images\c1-tile-027-front.jpg,minoians,米诺斯人,Minoans,1,high,,,,0.618,minoians,0.6812,0.8932,0.0003,none,False,minoians,米诺斯人,Minoans,0.2507,labyrinthians,0.3478,0.299,0.5337,high,False
c1,028,028,D:\download\ato2\ATO\map\images\c1-tile-028-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.6173,minoians,0.6693,0.8235,0.023,none,False,minoians,米诺斯人,Minoans,0.3178,labyrinthians,0.3783,0.3243,0.5398,medium,False
c1,029,029,D:\download\ato2\ATO\map\images\c1-tile-029-front.jpg,hornsworn,角誓者,Hornsworn,1,low,,,,0.6121,hornsworn,0.6409,0.6707,0.0204,none,False,hornsworn,角誓者,Hornsworn,0.3879,minoians,0.4052,0.3224,0.5634,low,False
c1,030,030,D:\download\ato2\ATO\map\images\c1-tile-030-front.jpg,hornsworn,角誓者,Hornsworn,1,medium,,,,0.6216,minoians,0.6845,0.8751,0.0119,none,False,hornsworn,角誓者,Hornsworn,0.3389,labyrinthians,0.3615,0.3062,0.5514,medium,False
c1,066,066,D:\download\ato2\ATO\map\images\c1-tile-066-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.5938,minoians,0.6624,0.9181,0.0061,none,False,minoians,米诺斯人,Minoans,0.331,labyrinthians,0.3968,0.3376,0.5358,medium,False
c1,067,067,D:\download\ato2\ATO\map\images\c1-tile-067-front.jpg,"labyrinthians,minoians",迷宫徒、米诺斯人,"Labyrinthians, Minoans",2,low,labyrinthians,迷宫徒,Labyrinthians,0.3301,hornsworn,0.3487,0.4082,0.471,low,False,minoians,米诺斯人,Minoans,0.4475,labyrinthians,0.45,0.369,0.5438,low,False
c1,068,068,D:\download\ato2\ATO\map\images\c1-tile-068-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.5857,labyrinthians,0.6662,0.8709,0.0444,none,False,minoians,米诺斯人,Minoans,0.4517,hornsworn,0.4538,0.3792,0.5297,low,False
c1,069,069,D:\download\ato2\ATO\map\images\c1-tile-069-front.jpg,hornsworn,角誓者,Hornsworn,1,low,,,,0.6353,minoians,0.7021,0.9489,0.0045,none,False,hornsworn,角誓者,Hornsworn,0.3572,labyrinthians,0.3581,0.3182,0.5384,low,False
c1,070,070,D:\download\ato2\ATO\map\images\c1-tile-070-front.jpg,hornsworn,角誓者,Hornsworn,1,low,,,,0.6218,minoians,0.6888,0.9098,0.0048,none,False,hornsworn,角誓者,Hornsworn,0.3859,labyrinthians,0.3884,0.4067,0.4598,low,False
c1,031,031,D:\download\ato2\ATO\map\images\c1-tile-031-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.5849,minoians,0.6373,0.8158,0.0195,none,False,labyrinthians,迷宫徒,Labyrinthians,0.3814,hornsworn,0.3947,0.396,0.4774,low,False
c1,032,032,D:\download\ato2\ATO\map\images\c1-tile-032-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.6289,minoians,0.6927,0.8971,0.0162,none,False,minoians,米诺斯人,Minoans,0.3716,labyrinthians,0.4141,0.3465,0.5412,medium,False
c1,033,033,D:\download\ato2\ATO\map\images\c1-tile-033-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.6168,minoians,0.6879,0.8875,0.0117,none,False,minoians,米诺斯人,Minoans,0.3803,labyrinthians,0.4048,0.336,0.5559,low,False
c1,034,034,D:\download\ato2\ATO\map\images\c1-tile-034-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.6029,minoians,0.6498,0.8598,0.0067,none,False,minoians,米诺斯人,Minoans,0.3089,labyrinthians,0.3835,0.322,0.5392,medium,False
c1,035,035,D:\download\ato2\ATO\map\images\c1-tile-035-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.6174,minoians,0.6755,0.9265,0.0294,none,False,labyrinthians,迷宫徒,Labyrinthians,0.4768,minoians,0.4832,0.4119,0.5226,low,False
c1,071,071,D:\download\ato2\ATO\map\images\c1-tile-071-front.jpg,minoians,米诺斯人,Minoans,1,high,,,,0.6184,minoians,0.688,0.9082,0.0032,none,False,minoians,米诺斯人,Minoans,0.2572,labyrinthians,0.3445,0.2821,0.5305,high,False
c1,072,072,D:\download\ato2\ATO\map\images\c1-tile-072-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.6123,labyrinthians,0.6662,0.7515,0.0041,none,False,minoians,米诺斯人,Minoans,0.3151,labyrinthians,0.3724,0.3086,0.5345,medium,False
c1,073,073,D:\download\ato2\ATO\map\images\c1-tile-073-front.jpg,minoians,米诺斯人,Minoans,1,high,,,,0.6262,minoians,0.6914,0.9128,0.0001,none,False,minoians,米诺斯人,Minoans,0.2628,labyrinthians,0.3504,0.2928,0.5333,high,False
c1,074,074,D:\download\ato2\ATO\map\images\c1-tile-074-front.jpg,minoians,米诺斯人,Minoans,1,medium,,,,0.5769,minoians,0.6461,0.813,0.0036,none,False,minoians,米诺斯人,Minoans,0.3091,labyrinthians,0.3729,0.3181,0.5342,medium,False
c1,075,075,D:\download\ato2\ATO\map\images\c1-tile-075-front.jpg,hornsworn,角誓者,Hornsworn,1,medium,,,,0.6272,minoians,0.6747,0.872,0.0043,none,False,hornsworn,角誓者,Hornsworn,0.3024,labyrinthians,0.3326,0.3881,0.4446,medium,False
c1,036,036,D:\download\ato2\ATO\map\images\c1-tile-036-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.5837,minoians,0.6485,0.9272,0.0393,none,False,minoians,米诺斯人,Minoans,0.4775,labyrinthians,0.4974,0.4454,0.4418,low,False
c1,037,037,D:\download\ato2\ATO\map\images\c1-tile-037-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.6316,minoians,0.6961,0.9098,0.0188,none,False,labyrinthians,迷宫徒,Labyrinthians,0.4318,hornsworn,0.4351,0.4253,0.4697,low,False
c1,038,038,D:\download\ato2\ATO\map\images\c1-tile-038-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.6283,minoians,0.679,0.8531,0.0203,none,False,labyrinthians,迷宫徒,Labyrinthians,0.4201,hornsworn,0.4258,0.4217,0.4689,low,False
c1,039,039,D:\download\ato2\ATO\map\images\c1-tile-039-front.jpg,labyrinthians,迷宫徒,Labyrinthians,1,low,,,,0.622,minoians,0.6781,0.8783,0.0187,none,False,labyrinthians,迷宫徒,Labyrinthians,0.4189,hornsworn,0.426,0.4214,0.4692,low,False
c1,040,040,D:\download\ato2\ATO\map\images\c1-tile-040-front.jpg,minoians,米诺斯人,Minoans,1,low,,,,0.595,minoians,0.6447,0.8772,0.0387,none,False,minoians,米诺斯人,Minoans,0.4648,labyrinthians,0.4786,0.4509,0.4557,low,False
c1,076,076,D:\download\ato2\ATO\map\images\c1-tile-076-front.jpg,hornsworn,角誓者,Hornsworn,1,low,,,,0.6187,minoians,0.6755,0.8613,0.0036,none,False,hornsworn,角誓者,Hornsworn,0.355,labyrinthians,0.3685,0.385,0.4558,low,False
c1,077,077,D:\download\ato2\ATO\map\images\c1-tile-077-front.jpg,hornsworn,角誓者,Hornsworn,1,low,,,,0.6291,minoians,0.6948,0.939,0.003,none,False,hornsworn,角誓者,Hornsworn,0.3485,labyrinthians,0.3577,0.3288,0.4927,low,False
c1,078,078,D:\download\ato2\ATO\map\images\c1-tile-078-front.jpg,hornsworn,角誓者,Hornsworn,1,low,,,,0.6278,minoians,0.6889,0.9022,0.0018,none,False,hornsworn,角誓者,Hornsworn,0.3151,labyrinthians,0.3332,0.3053,0.4946,low,False
c1,079,079,D:\download\ato2\ATO\map\images\c1-tile-079-front.jpg,hornsworn,角誓者,Hornsworn,1,low,,,,0.6019,minoians,0.6777,0.8384,0.0044,none,False,hornsworn,角誓者,Hornsworn,0.3998,labyrinthians,0.4081,0.3888,0.4851,low,False
c1,080,080,D:\download\ato2\ATO\map\images\c1-tile-080-front.jpg,hornsworn,角誓者,Hornsworn,1,low,,,,0.6211,minoians,0.6836,0.882,0.0028,none,False,hornsworn,角誓者,Hornsworn,0.3719,labyrinthians,0.3849,0.3626,0.4853,low,False
c2,001,001,D:\download\ato2\ATO\map\images\c2-tile-001-front.png,symmachy,邦联同盟,Symmachy,1,forced,,,,0.5826,cyclopes,0.6808,0.7211,0.0002,none,False,symmachy,邦联同盟,Symmachy,0.6833,helots,0.783,0.8591,0.1412,forced,False
c2,002,002,D:\download\ato2\ATO\map\images\c2-tile-002-front.png,symmachy,邦联同盟,Symmachy,1,forced,,,,0.5641,cyclopes,0.6791,0.8735,0.0719,none,False,symmachy,邦联同盟,Symmachy,0.6771,helots,0.7794,0.8581,0.1487,forced,False
c2,003,003,D:\download\ato2\ATO\map\images\c2-tile-003-front.png,symmachy,邦联同盟,Symmachy,1,forced,,,,0.6024,cyclopes,0.7282,0.8763,0.0,none,False,symmachy,邦联同盟,Symmachy,0.6791,helots,0.7748,0.8582,0.1398,forced,False
c2,004,004,D:\download\ato2\ATO\map\images\c2-tile-004-front.png,symmachy,邦联同盟,Symmachy,1,forced,,,,0.615,cyclopes,0.7552,0.9461,0.0,none,False,symmachy,邦联同盟,Symmachy,0.6657,helots,0.7945,0.86,0.141,forced,False
c2,005,005,D:\download\ato2\ATO\map\images\c2-tile-005-front.png,symmachy,邦联同盟,Symmachy,1,forced,,,,0.5755,cyclopes,0.7172,0.9183,0.0,none,False,symmachy,邦联同盟,Symmachy,0.669,helots,0.772,0.8585,0.1415,forced,False
c2,006,006,D:\download\ato2\ATO\map\images\c2-tile-006-front.png,symmachy,邦联同盟,Symmachy,1,forced,,,,0.6189,cyclopes,0.758,0.9206,0.0004,none,False,symmachy,邦联同盟,Symmachy,0.6572,cyclopes,0.7675,0.8585,0.1416,forced,False
c2,007,007,D:\download\ato2\ATO\map\images\c2-tile-007-front.png,helots,希洛人,Helots,1,low,,,,0.5427,cyclopes,0.7068,0.8799,0.0289,none,False,helots,希洛人,Helots,0.7205,cyclopes,0.7816,0.7455,0.2608,low,False
c2,008,008,D:\download\ato2\ATO\map\images\c2-tile-008-front.png,helots,希洛人,Helots,1,low,,,,0.5263,cyclopes,0.5633,0.5958,0.1616,none,False,helots,希洛人,Helots,0.7253,cyclopes,0.7801,0.7471,0.2595,low,False
