key,cycle,card_id,name,status,reason,resources,ocr_full,ocr_body,ocr_footer
c1:6410,c1,6410,Smithy,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,armament resource,=       = / $k LL $8 / SMITHY / Gain 1 Armament / resource. / GENT Gain 2 / Armament resources / instead. . / ° : (ee / AB0085            炒,Gain 1 Armament / resource. / \Friendiy+ Gain 2 / Armament resources / instead. _,AB0085
c1:6411,c1,6411,Weapons Cache,base-auto,gain fixed resources; optional/alternate effect,armament resource,BE SS / 车南库 / WEAPONS CACHE / Gain 2 Armament / resources. / { Denounced-eziiam / Armament resource / instead. . / ¥; eR zi  人 / AB0086,"Gain 2 Armament / resources. / Qe Gain | / Armament resource / instead. |                   ,",AB0086
c1:6412,c1,6412,Abandoned Shrine,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,monument resource,废弃神盒 / _ ABANDONED / SHRINE / Gain 1 Monument / resource. / GED Gain 2 / Monument resources / instead. / AB0087,Gain 1 Monument / resource. /  Friendly+) Gain ? / Monument resources / instead.,AB0087
c1:6413,c1,6413,Abandoned Shrine,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,monument resource,RFS / ABANDONED / SHRINE / Gain 1 Monument / resource. /  Gain 2 / Monument resources / instead. / ABO088,Gain 1 Monument / resource. / Gira» Gain 2 / Monument resources / instead.,AB0088
c1:6414,c1,6414,Temple Ruins,base-auto,gain fixed resources; choice/random/target needed,monument resource,Xx    WL  = / 48H FEY a Se / TEMPLE RUINS / Gain 2 Monument / resources. / (YY Chosen / Argonaut gains +1 . / =  : @) pe / AB0089             7,Gain 2 Monument / resources. / OCT》 Chosen / Argonaut gains +1 W. / 人,AB0089
c1:6415,c1,6415,Temple Ruins,base-auto,gain fixed resources; choice/random/target needed,monument resource,神殿废墟 / TEMPLE RUINS / Gain 2 Monument / resources. / ite» Chosen / Argonaut gains +1 W. / ABO090          ae,ain 2 Monument / resources. / GEMM Chosen / Argonaut gains +1.,AB0090
c1:6416,c1,6416,Titan,manual,choice/random/target needed,,泰坦 / TITAN / Gain +1 Titan. / :    (Friendly      ‘= Chosen / Argonaut gains +1). / ABO091,Gain +1 Titan.           Ga / | (Friendly Chosen / _ Argonaut gains +1 Q).,AB0091
c1:6417,c1,6417,Abandoned Fleet,base-auto,gain fixed resources; extra conditional gain,trireme resource,废弃舰队 / ABANDONED FLEET / Gain 3 Trireme resources. / CT Gain +1'V / AB0092                             |,"Gain 3 Trireme resources, — / CT Gain +1 VY.",AB0092
c1:6418,c1,6418,Old Armory,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,armament resource,IAAT / OLD ARMORY / Gain 3 Armament / resources. / Wit) Gain 4 Armament / resources instead. / ”  ‘of . (&) 志和 / AB0093,Gain 3 Armament / resources. / Cite) Gain 4 Armament / resources instead.,AB0093
c1:6419,c1,6419,Hidden Temple,base-auto,gain fixed resources; extra conditional gain,monument resource,隐秘神殿 / HIDDEN TEMPLE / Gain 3 Monument / resources. /   ite» Gain +1A. / AB0094,Gain 3 Monument / resources. / TITTTYY Gain +1 A.,AB0094
c1:6420,c1,6420,Abandoned Fleet,base-auto,gain fixed resources; loss or non-resource side effect; choice/random/target needed,trireme resource,废弃舰队 / ABANDONED FLEET / Gain 3 Trireme resources. / 人CR Lose -1 Titan. / AB0095,Gain 3 Trireme resources. /  Lose -1 Titan.,AB0095
c1:6421,c1,6421,Desecrated Temple,base-auto,gain fixed resources; extra conditional gain,monument resource,FE HR / LD ESECRATED / TEMPLE / Gain 2 Monument / resources. /  Gain +1#. / AB0096,Gain 2 Monument / resources. / Geter ® Gain +1 ht.,AB0096
c1:6422,c1,6422,Shipyard,base-auto,gain fixed resources; choice/random/target needed,trireme resource,"N+ / 造船三 / SHIPYARD » / Gain 4 Trireme resources. / Ofte Chosen / Argonaut gains +1 A. / 。 ae =the :   ""te / BRE bs ee / AB0097              |",Gain 4 Trireme resources. / CT Chosen / Argonaut gains +1 A.,AB0097
c1:6423,c1,6423,Shipyard,base-auto,gain fixed resources; choice/random/target needed,trireme resource,SHE / 造船厂 / SHIPYARD / Gain 4 Trireme resources. © / GEEZ Chosen / Argonaut gains +1 A. / AB0098,Gain 4 Trireme resources. / CT》Chosen / ， Argonaut gains +1 人.,AB0098
c1:6424,c1,6424,Weapons Cache,base-auto,gain fixed resources; choice/random/target needed,armament resource,WEAPONS CACHE / Gain 3 Armament / resources. / Getter Chosen / Argonaut gains +1 A. / ABO0099,Gain 3 Armament / resources. / Gites Chosen / Argonaut gains +1 A.,AB0099
c1:6425,c1,6425,Desecrated Temple,base-auto,gain fixed resources; extra conditional gain,monument resource,DESECRATED / TEMPLE / Gain 3 Monument / resources. / CT Gain +1 &. / 、 eo aa   . cag / AB0100             .,Gain 3 Monument / resources. / Canter» Gain +1 &.,AB0100
c1:6426,c1,6426,Hidden Temple,base-auto,gain fixed resources; optional/alternate effect; extra conditional gain,monument resource,隐秘神殿 / HIDDEN TEMPLE / Gain 4 Monument / resources. / You may gain +3 W to / gain +1 Priest. / ABO101         7,Gain 4 Monument / resources. / You may gain +3 YW to / gain +1 Priest. / o,AB0101
c1:6427,c1,6427,Egyptian War Fleet,base-auto,gain fixed resources; loss or non-resource side effect,trireme resource,EOr tk / GYPTIAN / WAR FLEET / Gain 5 Trireme resources. / QM) Lose -1 人 / AB0102,Gain 5 Trireme resources. / Allied Lose -1 Y’.,AB0102
c1:6428,c1,6428,Egyptian War Fleet,base-auto,gain fixed resources; loss or non-resource side effect,trireme resource,BV OTN / GYPTIAN / WAR FLEET / Gain 6 Trireme resources. / GED Lose -1 YW’. / me om 加 / AB0103            ),Gain 6 Trireme resources. - / GME) Lose -1 VW.,AB0103
c1:6429,c1,6429,Old Armory,base-auto,gain fixed resources; loss or non-resource side effect,monument resource,IAAL) / OLD ARMORY / Gain 5 Monnment / resources. / : Lose -1€. / AB0104,Gain 5 Monument      ee / resources. /  Lose -1€.,25) / AB0104
c1:6430,c1,6430,Bronze People Armory,base-auto,gain fixed resources; optional/alternate effect; extra conditional gain,armament resource,"青铜人兵工厂 / BRONZE PEOPLE / ARMORY / Gain 5 Armament / resources. / fie) Gain +1cb (once / until the next Timeline / “ Battle). , | / AB0O105           )","Gain 5 Armament           : / resources. / 《wy Gain +1b (once / until the next Timeline / Battle). , .",J ate   ares                      /， / 8 / AB0105
c1:6431,c1,6431,Grand Temple Ruins,semi,resource named but amount/action needs review,monument resource,大型神殿废起 / GRAND / TEMPLE RUINS / Gain 5 Monument / 人 /  Gain +1. / AB0106,Gain 5 Monument / _resources. / 《Cr Gain +1 ¥.,AB0106
c1:6433,c1,6433,Untamed Titan,manual,choice/random/target needed,,未驯服的泰坦 / UNTAMED TITAN / Gain +1 Titan. /  Chosen / Argonaut gains +1. / AB0108,Gain +1 Titan. /  Chosen / Argonaut gains +1Q.,AB0108
c1:6434,c1,6434,Hekatrap,manual,external card/story effect,,"BS bat / HIEKATRAP / At the end of this Exploration / Step, resolve an Ambush Battle / (Cycle I Storybook, p. 112). / GED At the start of this / battle, Escalate 1. / 永久移出天组           SN / Remove from the deck / AB0109                  permanently.","Atthe end of this Exploration / step, resolve an Ambush Battle / (Cycle I Storybook, p. 112). / CW/8+) At the start of this / battle, Escalate 1.",RABE    ¢ / Remove from the deck / AB0109               permanently.
c1:6435,c1,6435,Informant Network,manual,choice/random/target needed,,线人网络 / ‘INFORMANT / NETWORK / Gain +1 %. /  Roll a d10. On 8+ / gain +1cb. / 移出卡组直到下一次定肝战半 4 / Remove until the next / AB0110               Timeline Battle., Gain +1. ee      : / UE) Roll a d10. On 8+ / gain +1 ch.,移出卡组直到下一次定时战半 / Remove until the next / AB0110                Timeline Battle.
c1:6436,c1,6436,Cackle,manual,external card/story effect,,"KR / NAN Se /  Resolve an additional 他) / 移出大组直到下一次定肝战斗 d / Remove until the next                        } / ABO111               Timeline Battle.                                 ,",8 Resolve an additional C) / * “oe pie   有  DS oat   at: ae ee. e / | th        See / 人 二人这 . LAN 乞 he Loe 2 $,移出让组直到下一次定肝战斗  ¢ / Remove until the next                         | / ABO111                Timeline Battle.                                   :
c1:6437,c1,6437,Maze Pilgrim,manual,choice/random/target needed; conditional effect; external card/story effect,,"AB RES / MAZE PILGRIM / Gain +1 & (fon a & Map Tile: / gain +2 # instead). / If you then have 3+ #%, see 0014 / in the Fated Conundrum hub. / CW/5+) Gain 1 additional #. /  Random Argonaut / gains 1 Despair token. / BAKABP FREAK 4 / Remove until the next / AB0112               Timeline Battle.","Gain +1 ft (If ona & Map Tile: / gain +2 # instead). / If you then have 3+ #, see 0014 / in the Fated Conundrum hub. / CW/54) Gain 1 additional #. /  Random Argonaut / gains ] Despair token.",移出卡组直到下一次定时战半 @ / Remove until the next / AB0112                Timeline Battle.
c1:6438,c1,6438,Maze Storm,review,effect text not matched by current rules,,MAZE STORM / Gain +1 A. / 7B Gain +2 A instead. / 移出大组直到下一次定肝战斗 / Remove until the next / AB0113            Timeline Battle.,Gain +1合 / QV Gain +2Ainstead.,移出大组直到下一次定肝战斗 @ / Remove until the next / ABO113              Timeline Battie.
c1:6439,c1,6439,Recruitment Drive,review,effect text not matched by current rules,,Aas aa / RECRUITMENT / DRIVE / Gain +1. / 《TRY Lose -1 Y’. / 永久移出大组                   ¢ / Remove from the deck / AB0114              permanently.,Gain +1.               “ / (Allied Lose -1 Y.,了永久移出大组                  8 / Remove from the deck / AB0114                 permanently.
c1:6440,c1,6440,Heart of the Maze,manual,external card/story effect,,"aE IL / HEART OF THE / MAZE / You're ambushed by the / Temenos itself! At the end of / this Exploration Step, resolve / a Temenos Battle (note Special / Aftermath 0006). /  At the start of this / battle, Escalate 1. / 永久移出大组           8 / Remove from the deck / ABO116          permanently.","Youre ambushed by the / Temenos itself! At the end of / this Exploration Step, resolve / a Temenos Battle (note Special / Aftermath 0006). / GED At the start of this / battle, Escalate 1.",永久移出让组                  @ / Remove from the deck / AB0116              permanently.
c1:13400,c1,13400,Theban Trader,review,effect text not matched by current rules,,"_. © / ota / 2525 / Beas / > / Ms      HTEeE0g / ER      gS / R       Begs o + / A) ox     ANnS tn ase / ”    N a 0  ¢  “a / -L\  Q    ACEo HH  th / ~~ OCs ian ea  Lo / kK ‘=    ES=o 号 / =o    四是一石 +r  | / LD    号全 o <  kX / [|    epo™   a / ae     om OD. tke 2 | / o8Zrs  HIS / ~~ 人    Lae  Pe |< / LL  =    2n 52 oS / Oe   B52 wb ay iw / co      ""号 2 / ee Sf GEReESSS KER / fie EEO O-SS0 HAR / > ESSE 5os | eee 2 / Wag = SETR eS ss SSM / wee fam. 2sa3 NZ / 5 Pees / Te 2a fSCuEe E / =  weEEsEteae 旺 / EODEERZS    =  \ / [一  S BEESESHZ=E 中  — / Soa Set im S OO om / SereSaqA20rce iy  三 / SB Ore eee TIN   三",SOG / a       TsO q / :         oo > Bia / S      oot 后 / -     NA YO +H? / 一、     ono + / 出     AZEY / ES=o oW / cb     g250 到 / ，医    SESS ys / =  .     ate = RK / nd / LL)  8)     oe 号地 / N / 本     二 Lie 4 / | Ky / = Gee leo oe / g EL os—ge0 +h eK / CS wg he ee get a / Le Oh) «a |,SS /     如 近呈过三二症瑟      an / See SaeesUOrer    = / eS Orme ee TINO      二
c2:13600,c2,13600,Temenos Fear Aquifer,base-auto,gain fixed resources; extra conditional gain; choice/random/target needed,fearEssence resource,ajaiasacuann / EMENOS TEAR / AQUIFER / Gain 2 Fear Essence / resources. / €7E Gain+2Aasa / group.,Gain 2 Fear Essence        : / resources. / €JE Gain+2A asa / group., BB1212                 :
c2:13601,c2,13601,Pre-Eschaton Armory,base-auto,gain fixed resources; optional/alternate effect,warMachine resource,At a GI / PRE-ESCHATON / ARMORY / Gain 2 War Machine / resources. / Machine resources / instead. .,Gain 2 War Machine / resources. / Geri Gain 3 War / Machine resources / - instead. . / ine, BB1216
c2:13602,c2,13602,Temple of Ares,base-auto,gain fixed resources; extra conditional gain; choice/random/target needed,relief resource,呵到斯神殿 / TEMPLE OF ARES / Gain 2 Relief resources. /  Gain +1 Wasa / group. —,Gain 2 Relief resources. / GJIE Gain +1WVasa / group.,  BB1219
c2:13603,c2,13603,Temenos Mineshaft,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,mazeFragment resource,a aarare / EMENOS / MINESHAFT / Gain 1 Maze Fragment / resource. / €J/® Gain 2 Maze / Fragment resources / ~ instead. / ei eee ee Ce”,Gain 1 Maze Fragment / resource. / €JE® Gain 2 Maze / Fragment resources / instead.,       BB1209
c2:13604,c2,13604,Weapons Workshop,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,warMachine resource,Weipor / |             FAPONS / WORKSHOP / Gain 1 War Machine / resource. / 人ET Gain 2 War / Machine resources / instead. . / : ete es 机 -@.,Gain 1 WarMachine / resource. / Gitte Gain 2 War / Machine resources / Instead. . ， / | earshgra cays = a,  BB1215
c2:13605,c2,13605,Shrine To Ares,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,relief resource,[So] Sq Ht HH See / SHRINE TO ARES / Gain 1 Relief resource. / VFriendly+) Gain 2 Relief / resources instead. /   BB1217,Gain 1 Relief resource. / GET Gain 2 Relief / resources instead.,  BB1217                          人
c2:13606,c2,13606,Temenos Pit,base-auto,gain fixed resources; choice/random/target needed,mazeFragment resource,AMET ie / TEMENOS PIT / Gain 2 Maze Fragment / resources. / GE Gain+iAasa / group. /   BB1211                                r,Gain 2 Maze Fragment / resources. / JE Gain+ifasa / group., BB1211
c2:13607,c2,13607,Temenos Mineshaft,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,mazeFragment resource,erat asta / FMENOS / MINESHAFT / Gain 1 Maze Fragment / resource. /  Gain 2 Maze / Fragment resources / instead. . /   BB1210             ),Gain 1 Maze Fragment / resource. /  Gain 2 Maze / Fragment resources / instead. . /  wore en lg,    BB1210
c2:13608,c2,13608,Temple of Ares,base-auto,gain fixed resources; extra conditional gain; choice/random/target needed,relief resource,呵瑞斯神殿 / TEMPLE OF ARES / Gain 2 Relief resources. / GI Gain +1 asa / group.,Gain 2 Relief resources. / GIE Gain +1 asa / group. |                     :,  BB1220
c2:13609,c2,13609,Spartan Wreckage,base-auto,gain fixed resources; extra conditional gain; choice/random/target needed,"trireme resource, warTrireme resource",itaraa / PARTAN / WRECKAGE / Gain 4 War Trireme / resources. / GE Gain +1Aasa / group. / oo. / Se,Gain 4 War Trireme / resources. / €JED Gain+1 A asa / group., BB1229              人
c2:13610,c2,13610,Daedalus Laboratory,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,warMachine resource,AEDALUS / LABORATORY / Gain 3 War Machine / resources. / vv Gain 4 War Machine / resources instead. /   BB1223                                   :,Gain 3 War Machine / resources. / €ME) Gain 4 War Machine / resources instead.,   BB1223
c2:13611,c2,13611,Cyclopean Temple of Hyperion,base-auto,gain fixed resources; extra conditional gain,relief resource,a BORE EC CEE / YCLOPEAN TEMPLE / OF HYPERION / Gain 3 Relief resources. / Gi 获得1个 / 独眼巨人牙齿稀有资源。 /   BB1225                          P,Gain 3 Relief reSOurcesS. / @G& 获得1个 / THER EA Aa te A,   BB1225                                                  人
c2:13612,c2,13612,Temenos Fear Aquifer,base-auto,gain fixed resources; extra conditional gain; choice/random/target needed,fearEssence resource,FEMENOs Pen / EMENOS FEAR / AQUIFER / Gain 2 Fear Essence / resources. / JE Gain+2A asa / group. /   BB1214,Gain 2 Fear Essence / _ resources， / €JE Gain+2Aasa / group.,  BB1214                            :
c2:13613,c2,13613,Palirroia Trireme,base-auto,gain fixed resources; loss or non-resource side effect; choice/random/target needed,"trireme resource, warTrireme resource",由里受亚战船 / PALIRROIA TRIREME / Gain 3 War Trireme / resources. / ~ @EB Lose -1 Titan. / '  BB1226,Gain 3 War Trireme / resources. / €JED Lose -1 Titan.,  BB1226
c2:13614,c2,13614,Daedalus Laboratory,base-auto,gain fixed resources; choice/random/target needed,warMachine resource,Guy iea / AEDALUS / LABORATORY / Gain 3 War Machine / resources. / JED Gain+1Aasa / group. / 了   的) 1 ae,Gain 3 War Machine / resources. / «JED Gaint+ifvasa / eroup.                    :,  BB1233                               人
c2:13615,c2,13615,Cyclopean Temple of Iapetus,base-auto,gain fixed resources; optional/alternate effect; extra conditional gain,relief resource,独眼 A 的伊阿珀托斯神殿 / YCLOPEAN / TEMPLE OF IAPETUS / Gain 4 Relief resources. / 名 Gain +1 (once / until the next Timeline / Battle). /    BB1232            ni,Gain 4 Relief resources. / SAME Gain +1 ch (once / until the next Timeline / Battle).,|  BB1232
c2:13616,c2,13616,Spartan Trireme,base-auto,gain fixed resources; loss or non-resource side effect,"trireme resource, warTrireme resource",斯巴达战船 / SPARTAN TRIREME / Gain 5 War Trireme / resources. /  Lose -1 YY’. / |  BB1238,Gain 5 War Trireme / resources. / CME) Lose -1 YW.,|   BB1238                                            4
c2:13617,c2,13617,Cyclopean Temple of Gaia,base-auto,gain fixed resources; loss or non-resource side effect,relief resource,TPR A BY ae A / YCLOPEAN / TEMPLE OF GAIA / Gain 5 Relief resources. / GIB Lose -3 V.,Gain 5 Relief resources. / JB Lose -3 VW., BB1235                      人
c2:13618,c2,13618,Shrine to Ares,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,relief resource,So] Sn Sr HH SE / SHRINE TO ARES / Gain 1 Relief resource. / : Gain 2 Relief / resources instead. /   BB1218                             人,Gain 1 Relief resource. /  Gain 2 Relief / resources instead.,  BB1218                             f
c2:13619,c2,13619,Marathonian-Class Trireme,base-auto,gain fixed resources; choice/random/target needed,"trireme resource, warTrireme resource",马拉松级战船 / MARATHONIAN- / CLASS TRIREME / Gain 6 War Trireme / resources. / @I® Gain+l1Aasa / group. /   BB1234                                    人,Gain 6 WarTrireme / resources.               | / GJ Gain+ifasa / group.,   BB1234                                                           人
c2:13620,c2,13620,Bronze People Foundry,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,warMachine resource,NCA BEA / BRONZE PEOPLE / FOUNDRY / Gain 5 War Machine / resources. / 2) Gain 6 War Machine / resources instead. / 人          . Ree  mt / a we     yee / |  BB1237                  ‘,Gain 5 WarMachine / resources. / CE Gain 6 War Machine / resources instead. / SG /  roe ace pee, BB1237
c2:13621,c2,13621,Cyclopean Shrine of Hyperion,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,relief resource,‘ex 巨人 SU RANT IN / YCLOPEAN SHRINE / OF HYPERION / Gain 2 Relief resources. / GJ Gain 3 Relief / resources instead. /   BB1224,Gain 2 Relief resources. / €JED Gain 3 Relief / resources instead.,   BB1224
c2:13622,c2,13622,Temenos Fear Spring,base-auto,gain fixed resources; choice/random/target needed,fearEssence resource,Fri BAIR ZR / TEMENOS FEAR / SPRING / Gain 1 Fear Essence / resource. / @JE Gain+ifAAasa / group.,Gain 1 Fear Essence / resource. / ~>@E Gaint+tifasa / group.,  BB1213
c2:13623,c2,13623,Cyclopean Temple of Gaia,base-auto,gain fixed resources; extra conditional gain,relief resource,a 蕊人的盖亚神殿 / YCLOPEAN / TEMPLE OF GAIA | / Gain 5 Relief resources. / CED Gain +1 ¥. / ELL Ue ame nen et,Gain 5 Relief resources. _ / GME) Gain +1.,   BB1236                                            ‘
c2:13624,c2,13624,Cyclopean Shrine of Iapetus,base-auto,gain fixed resources; loss or non-resource side effect; choice/random/target needed,relief resource,sala GN SOA s\n / YCLOPEAN / SHRINE OF IAPETUS / Gain 3 Relief resources. / ~ @E Lose -1 Titan. /   BB1231           fe             |,Gain 3 Relief resources. / €JIEB) Lose -1 Titan. / ef Teen gous sg te, BB1231
c2:13625,c2,13625,Spartan Wreckage,base-auto,gain fixed resources; extra conditional gain; loss or non-resource side effect; choice/random/target needed,"trireme resource, warTrireme resource",SPAR TAR / PARTAN / VVRECKAGE / Gain 4 War Trireme / resources. / @JE® Lose -1 Titan. /   BB1230                                   人,Gain 4 War Trireme         | / resources. / JED Lose -1 Titan.,    BB1230                                                          人
c2:13626,c2,13626,White Trireme,base-auto,gain fixed resources; optional/alternate effect; alternate or bonus resource line,"trireme resource, warTrireme resource",白色战船 / WHITE TRIREME / Gain 2 War Trireme / resources. / ~~ GIB Gain 3 War Trireme / - resources instead.,‘Gain 2 War Trireme / resources. /  后必 Gain 3 War Trireme / resources instead.           :,、  BB1227                                             人
c2:13627,c2,13627,Palirroia Trireme,base-auto,gain fixed resources; optional/alternate effect; extra conditional gain; alternate or bonus resource line,"trireme resource, warTrireme resource",1G SW aA / PALIRROIA TRIREME / Gain 3 War Trireme / resources. / JE Gain 4 War Trireme / resources instead. / 、 BB1228            和,Gain 3 War Trireme         : / resources. / JE Gain 4 War Trireme / resources instead.,、 BB1228                              人
c2:13628,c2,13628,Titan,manual,choice/random/target needed,,"泰坦 / TITAN             , / Gain +1 Titan. / GE Gain +1Qasa / group. / ie CL a ane Cee",Gain +1 Titan.           uk / GED Cain+1QOasa / group. .,  BB1221
c2:13629,c2,13629,Untamed Titan,manual,choice/random/target needed,,AR WAR AS ZS t8 / UNTAMED TITAN / Gain +1 Titan. / «GEMM Gain +1Qasa / - group. / Ea a ee nee,Gain +1lTitan，          0 /  Gain+1Qasa / group. .               :,   BB1222                                            人
c2:13630,c2,13630,Argo Engines,manual,conditional effect,,"SABOTAGE: / ARGO ENGINES /                   a) RS 5 | / If you have 2+, lose -1 &. / If this ability didn't trigger, / gain +1]. / ¥€lelSabotage kA / 33) ar / BA / 移出卡组直到下一次定肝战斗 / \BB1244                                       )","If you howe or i, lose -1€. | / If this ability didn't trigger, / gain +1{P.",(33)  CHED « CID / MA / 多     T— Sat Be /  ep ose FA BSIT RE At ax}
c2:13631,c2,13631,Propylon,manual,conditional effect,,"SABOTAGE: / PROPYLON /       山门 / 如果你们有 1+, BEAL / 选择你们的一个阿尔蕊 / FLRE(AA) BHR. ERA! / 企时间表当前10天后记下 / 它的名称，作为事件。 / fPS-KAWARDR, C / 被修复可用。 / If this ability didn't trigger, / gain +1iP. / 洗右Sabotage卡组 / 改为 / 移出上大组直到下一次定肝战斗 /  BB1245","如果你们有 1+瘟 BEAL / 选择你们的一个阿尔式 / IZ AE(AA) EHX. ERAT! / 在时间表当前10天后记下 / 它的名称，作为事件。 / 在那一天的发展步骤，马 / 亿修复可用。 / If this ability didn't trigger, / oain pes    =",3.4)     CED «« CTD      8 /    移出卡组直到下一次定肝战半 / 本 mein erates caren ee
