key,cycle,card_id,name,image_path,automation_bucket,base_effect_type,base_amount,base_target,base_resource_key,base_resource_name,base_raw_text,conditional_effects,requires_choice,choice_prompt,requires_state_check,state_key,timing,can_apply_automatically,confidence,needs_icon_review,notes,ocr_full
c1:6418,c1,6418,Old Armory,D:\download\ato2\ATO\assets\exploration-cards\c1\6418.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,IAAT / OLD ARMORY / Gain 3 Armament / resources. / Wit) Gain 4 Armament / resources instead. / ”  ‘of . (&) 志和 / AB0093
c1:6419,c1,6419,Hidden Temple,D:\download\ato2\ATO\assets\exploration-cards\c1\6419.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,隐秘神殿 / HIDDEN TEMPLE / Gain 3 Monument / resources. /   ite» Gain +1A. / AB0094
c1:6420,c1,6420,Abandoned Fleet,D:\download\ato2\ATO\assets\exploration-cards\c1\6420.png,base-auto,gain_resource,3,argo_resources,,Trireme,Gain 3 Trireme resources,,no,,yes,,on_settle,yes,medium,yes,,废弃舰队 / ABANDONED FLEET / Gain 3 Trireme resources. / 人CR Lose -1 Titan. / AB0095
c1:6421,c1,6421,Desecrated Temple,D:\download\ato2\ATO\assets\exploration-cards\c1\6421.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,FE HR / LD ESECRATED / TEMPLE / Gain 2 Monument / resources. /  Gain +1#. / AB0096
c1:6422,c1,6422,Shipyard,D:\download\ato2\ATO\assets\exploration-cards\c1\6422.png,base-auto,gain_resource,4,argo_resources,,Trireme,Gain 4 Trireme resources,,no,,yes,,on_settle,yes,medium,yes,,"N+ / 造船三 / SHIPYARD » / Gain 4 Trireme resources. / Ofte Chosen / Argonaut gains +1 A. / 。 ae =the :   ""te / BRE bs ee / AB0097              |"
c1:6423,c1,6423,Shipyard,D:\download\ato2\ATO\assets\exploration-cards\c1\6423.png,base-auto,gain_resource,4,argo_resources,,Trireme,Gain 4 Trireme resources,,no,,yes,,on_settle,yes,medium,yes,,SHE / 造船厂 / SHIPYARD / Gain 4 Trireme resources. © / GEEZ Chosen / Argonaut gains +1 A. / AB0098
c1:6424,c1,6424,Weapons Cache,D:\download\ato2\ATO\assets\exploration-cards\c1\6424.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,WEAPONS CACHE / Gain 3 Armament / resources. / Getter Chosen / Argonaut gains +1 A. / ABO0099
c1:6425,c1,6425,Desecrated Temple,D:\download\ato2\ATO\assets\exploration-cards\c1\6425.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,DESECRATED / TEMPLE / Gain 3 Monument / resources. / CT Gain +1 &. / 、 eo aa   . cag / AB0100             .
c1:6426,c1,6426,Hidden Temple,D:\download\ato2\ATO\assets\exploration-cards\c1\6426.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,隐秘神殿 / HIDDEN TEMPLE / Gain 4 Monument / resources. / You may gain +3 W to / gain +1 Priest. / ABO101         7
c1:6427,c1,6427,Egyptian War Fleet,D:\download\ato2\ATO\assets\exploration-cards\c1\6427.png,base-auto,gain_resource,5,argo_resources,,Trireme,Gain 5 Trireme resources,,no,,yes,,on_settle,yes,medium,yes,,EOr tk / GYPTIAN / WAR FLEET / Gain 5 Trireme resources. / QM) Lose -1 人 / AB0102
c1:6428,c1,6428,Egyptian War Fleet,D:\download\ato2\ATO\assets\exploration-cards\c1\6428.png,base-auto,gain_resource,6,argo_resources,,Trireme,Gain 6 Trireme resources,,no,,yes,,on_settle,yes,medium,yes,,BV OTN / GYPTIAN / WAR FLEET / Gain 6 Trireme resources. / GED Lose -1 YW’. / me om 加 / AB0103            )
c1:6429,c1,6429,Old Armory,D:\download\ato2\ATO\assets\exploration-cards\c1\6429.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,IAAL) / OLD ARMORY / Gain 5 Monnment / resources. / : Lose -1€. / AB0104
c1:6430,c1,6430,Bronze People Armory,D:\download\ato2\ATO\assets\exploration-cards\c1\6430.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,"青铜人兵工厂 / BRONZE PEOPLE / ARMORY / Gain 5 Armament / resources. / fie) Gain +1cb (once / until the next Timeline / “ Battle). , | / AB0O105           )"
c1:6431,c1,6431,Grand Temple Ruins,D:\download\ato2\ATO\assets\exploration-cards\c1\6431.png,semi,,,,,,,,,,,,on_settle,no,,yes,,大型神殿废起 / GRAND / TEMPLE RUINS / Gain 5 Monument / 人 /  Gain +1. / AB0106
c1:6433,c1,6433,Untamed Titan,D:\download\ato2\ATO\assets\exploration-cards\c1\6433.png,manual,gain_titan,1,argo_track,,,Gain +1 Titan,,,,yes,,on_settle,no,medium,yes,,未驯服的泰坦 / UNTAMED TITAN / Gain +1 Titan. /  Chosen / Argonaut gains +1. / AB0108
c1:6434,c1,6434,Hekatrap,D:\download\ato2\ATO\assets\exploration-cards\c1\6434.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"BS bat / HIEKATRAP / At the end of this Exploration / Step, resolve an Ambush Battle / (Cycle I Storybook, p. 112). / GED At the start of this / battle, Escalate 1. / 永久移出天组           SN / Remove from the deck / AB0109                  permanently."
c1:6435,c1,6435,Informant Network,D:\download\ato2\ATO\assets\exploration-cards\c1\6435.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,线人网络 / ‘INFORMANT / NETWORK / Gain +1 %. /  Roll a d10. On 8+ / gain +1cb. / 移出卡组直到下一次定肝战半 4 / Remove until the next / AB0110               Timeline Battle.
c1:6436,c1,6436,Cackle,D:\download\ato2\ATO\assets\exploration-cards\c1\6436.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"KR / NAN Se /  Resolve an additional 他) / 移出大组直到下一次定肝战斗 d / Remove until the next                        } / ABO111               Timeline Battle.                                 ,"
c1:6437,c1,6437,Maze Pilgrim,D:\download\ato2\ATO\assets\exploration-cards\c1\6437.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"AB RES / MAZE PILGRIM / Gain +1 & (fon a & Map Tile: / gain +2 # instead). / If you then have 3+ #%, see 0014 / in the Fated Conundrum hub. / CW/5+) Gain 1 additional #. /  Random Argonaut / gains 1 Despair token. / BAKABP FREAK 4 / Remove until the next / AB0112               Timeline Battle."
c1:6438,c1,6438,Maze Storm,D:\download\ato2\ATO\assets\exploration-cards\c1\6438.png,review,,,,,,,,,,yes,,on_settle,no,,yes,,MAZE STORM / Gain +1 A. / 7B Gain +2 A instead. / 移出大组直到下一次定肝战斗 / Remove until the next / AB0113            Timeline Battle.
c1:6439,c1,6439,Recruitment Drive,D:\download\ato2\ATO\assets\exploration-cards\c1\6439.png,review,,,,,,,,,,yes,,on_settle,no,,yes,,Aas aa / RECRUITMENT / DRIVE / Gain +1. / 《TRY Lose -1 Y’. / 永久移出大组                   ¢ / Remove from the deck / AB0114              permanently.
c1:6440,c1,6440,Heart of the Maze,D:\download\ato2\ATO\assets\exploration-cards\c1\6440.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"aE IL / HEART OF THE / MAZE / You're ambushed by the / Temenos itself! At the end of / this Exploration Step, resolve / a Temenos Battle (note Special / Aftermath 0006). /  At the start of this / battle, Escalate 1. / 永久移出大组           8 / Remove from the deck / ABO116          permanently."
c1:13400,c1,13400,Theban Trader,D:\download\ato2\ATO\assets\exploration-cards\c1\13400.png,review,,,,,,,,,,yes,,on_settle,no,,yes,,"_. © / ota / 2525 / Beas / > / Ms      HTEeE0g / ER      gS / R       Begs o + / A) ox     ANnS tn ase / ”    N a 0  ¢  “a / -L\  Q    ACEo HH  th / ~~ OCs ian ea  Lo / kK ‘=    ES=o 号 / =o    四是一石 +r  | / LD    号全 o <  kX / [|    epo™   a / ae     om OD. tke 2 | / o8Zrs  HIS / ~~ 人    Lae  Pe |< / LL  =    2n 52 oS / Oe   B52 wb ay iw / co      ""号 2 / ee Sf GEReESSS KER / fie EEO O-SS0 HAR / > ESSE 5os | eee 2 / Wag = SETR eS ss SSM / wee fam. 2sa3 NZ / 5 Pees / Te 2a fSCuEe E / =  weEEsEteae 旺 / EODEERZS    =  \ / [一  S BEESESHZ=E 中  — / Soa Set im S OO om / SereSaqA20rce iy  三 / SB Ore eee TIN   三"
c2:13600,c2,13600,Temenos Fear Aquifer,D:\download\ato2\ATO\assets\exploration-cards\c2\13600.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,ajaiasacuann / EMENOS TEAR / AQUIFER / Gain 2 Fear Essence / resources. / €7E Gain+2Aasa / group.
c2:13601,c2,13601,Pre-Eschaton Armory,D:\download\ato2\ATO\assets\exploration-cards\c2\13601.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,At a GI / PRE-ESCHATON / ARMORY / Gain 2 War Machine / resources. / Machine resources / instead. .
c2:13602,c2,13602,Temple of Ares,D:\download\ato2\ATO\assets\exploration-cards\c2\13602.png,base-auto,gain_resource,2,argo_resources,,Relief,Gain 2 Relief resources,,no,,yes,,on_settle,yes,medium,yes,,呵到斯神殿 / TEMPLE OF ARES / Gain 2 Relief resources. /  Gain +1 Wasa / group. —
c2:13603,c2,13603,Temenos Mineshaft,D:\download\ato2\ATO\assets\exploration-cards\c2\13603.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,a aarare / EMENOS / MINESHAFT / Gain 1 Maze Fragment / resource. / €J/® Gain 2 Maze / Fragment resources / ~ instead. / ei eee ee Ce”
c2:13604,c2,13604,Weapons Workshop,D:\download\ato2\ATO\assets\exploration-cards\c2\13604.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,Weipor / |             FAPONS / WORKSHOP / Gain 1 War Machine / resource. / 人ET Gain 2 War / Machine resources / instead. . / : ete es 机 -@.
c2:13605,c2,13605,Shrine To Ares,D:\download\ato2\ATO\assets\exploration-cards\c2\13605.png,base-auto,gain_resource,1,argo_resources,,Relief,Gain 1 Relief resource,,no,,yes,,on_settle,yes,medium,yes,,[So] Sq Ht HH See / SHRINE TO ARES / Gain 1 Relief resource. / VFriendly+) Gain 2 Relief / resources instead. /   BB1217
c2:13606,c2,13606,Temenos Pit,D:\download\ato2\ATO\assets\exploration-cards\c2\13606.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,AMET ie / TEMENOS PIT / Gain 2 Maze Fragment / resources. / GE Gain+iAasa / group. /   BB1211                                r
c2:13607,c2,13607,Temenos Mineshaft,D:\download\ato2\ATO\assets\exploration-cards\c2\13607.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,erat asta / FMENOS / MINESHAFT / Gain 1 Maze Fragment / resource. /  Gain 2 Maze / Fragment resources / instead. . /   BB1210             )
c2:13608,c2,13608,Temple of Ares,D:\download\ato2\ATO\assets\exploration-cards\c2\13608.png,base-auto,gain_resource,2,argo_resources,,Relief,Gain 2 Relief resources,,no,,yes,,on_settle,yes,medium,yes,,呵瑞斯神殿 / TEMPLE OF ARES / Gain 2 Relief resources. / GI Gain +1 asa / group.
c2:13609,c2,13609,Spartan Wreckage,D:\download\ato2\ATO\assets\exploration-cards\c2\13609.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,itaraa / PARTAN / WRECKAGE / Gain 4 War Trireme / resources. / GE Gain +1Aasa / group. / oo. / Se
c2:13610,c2,13610,Daedalus Laboratory,D:\download\ato2\ATO\assets\exploration-cards\c2\13610.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,AEDALUS / LABORATORY / Gain 3 War Machine / resources. / vv Gain 4 War Machine / resources instead. /   BB1223                                   :
c2:13611,c2,13611,Cyclopean Temple of Hyperion,D:\download\ato2\ATO\assets\exploration-cards\c2\13611.png,base-auto,gain_resource,3,argo_resources,,Relief,Gain 3 Relief resources,,no,,yes,,on_settle,yes,medium,yes,,a BORE EC CEE / YCLOPEAN TEMPLE / OF HYPERION / Gain 3 Relief resources. / Gi 获得1个 / 独眼巨人牙齿稀有资源。 /   BB1225                          P
c2:13612,c2,13612,Temenos Fear Aquifer,D:\download\ato2\ATO\assets\exploration-cards\c2\13612.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,FEMENOs Pen / EMENOS FEAR / AQUIFER / Gain 2 Fear Essence / resources. / JE Gain+2A asa / group. /   BB1214
c2:13613,c2,13613,Palirroia Trireme,D:\download\ato2\ATO\assets\exploration-cards\c2\13613.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,由里受亚战船 / PALIRROIA TRIREME / Gain 3 War Trireme / resources. / ~ @EB Lose -1 Titan. / '  BB1226
c2:13614,c2,13614,Daedalus Laboratory,D:\download\ato2\ATO\assets\exploration-cards\c2\13614.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,Guy iea / AEDALUS / LABORATORY / Gain 3 War Machine / resources. / JED Gain+1Aasa / group. / 了   的) 1 ae
c2:13615,c2,13615,Cyclopean Temple of Iapetus,D:\download\ato2\ATO\assets\exploration-cards\c2\13615.png,base-auto,gain_resource,4,argo_resources,,Relief,Gain 4 Relief resources,,no,,yes,,on_settle,yes,medium,yes,,独眼 A 的伊阿珀托斯神殿 / YCLOPEAN / TEMPLE OF IAPETUS / Gain 4 Relief resources. / 名 Gain +1 (once / until the next Timeline / Battle). /    BB1232            ni
c2:13616,c2,13616,Spartan Trireme,D:\download\ato2\ATO\assets\exploration-cards\c2\13616.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,斯巴达战船 / SPARTAN TRIREME / Gain 5 War Trireme / resources. /  Lose -1 YY’. / |  BB1238
c2:13617,c2,13617,Cyclopean Temple of Gaia,D:\download\ato2\ATO\assets\exploration-cards\c2\13617.png,base-auto,gain_resource,5,argo_resources,,Relief,Gain 5 Relief resources,,no,,yes,,on_settle,yes,medium,yes,,TPR A BY ae A / YCLOPEAN / TEMPLE OF GAIA / Gain 5 Relief resources. / GIB Lose -3 V.
c2:13618,c2,13618,Shrine to Ares,D:\download\ato2\ATO\assets\exploration-cards\c2\13618.png,base-auto,gain_resource,1,argo_resources,,Relief,Gain 1 Relief resource,,no,,yes,,on_settle,yes,medium,yes,,So] Sn Sr HH SE / SHRINE TO ARES / Gain 1 Relief resource. / : Gain 2 Relief / resources instead. /   BB1218                             人
c2:13619,c2,13619,Marathonian-Class Trireme,D:\download\ato2\ATO\assets\exploration-cards\c2\13619.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,马拉松级战船 / MARATHONIAN- / CLASS TRIREME / Gain 6 War Trireme / resources. / @I® Gain+l1Aasa / group. /   BB1234                                    人
c2:13620,c2,13620,Bronze People Foundry,D:\download\ato2\ATO\assets\exploration-cards\c2\13620.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,NCA BEA / BRONZE PEOPLE / FOUNDRY / Gain 5 War Machine / resources. / 2) Gain 6 War Machine / resources instead. / 人          . Ree  mt / a we     yee / |  BB1237                  ‘
c2:13621,c2,13621,Cyclopean Shrine of Hyperion,D:\download\ato2\ATO\assets\exploration-cards\c2\13621.png,base-auto,gain_resource,2,argo_resources,,Relief,Gain 2 Relief resources,,no,,yes,,on_settle,yes,medium,yes,,‘ex 巨人 SU RANT IN / YCLOPEAN SHRINE / OF HYPERION / Gain 2 Relief resources. / GJ Gain 3 Relief / resources instead. /   BB1224
c2:13622,c2,13622,Temenos Fear Spring,D:\download\ato2\ATO\assets\exploration-cards\c2\13622.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,Fri BAIR ZR / TEMENOS FEAR / SPRING / Gain 1 Fear Essence / resource. / @JE Gain+ifAAasa / group.
c2:13623,c2,13623,Cyclopean Temple of Gaia,D:\download\ato2\ATO\assets\exploration-cards\c2\13623.png,base-auto,gain_resource,5,argo_resources,,Relief,Gain 5 Relief resources,,no,,yes,,on_settle,yes,medium,yes,,a 蕊人的盖亚神殿 / YCLOPEAN / TEMPLE OF GAIA | / Gain 5 Relief resources. / CED Gain +1 ¥. / ELL Ue ame nen et
c2:13624,c2,13624,Cyclopean Shrine of Iapetus,D:\download\ato2\ATO\assets\exploration-cards\c2\13624.png,base-auto,gain_resource,3,argo_resources,,Relief,Gain 3 Relief resources,,no,,yes,,on_settle,yes,medium,yes,,sala GN SOA s\n / YCLOPEAN / SHRINE OF IAPETUS / Gain 3 Relief resources. / ~ @E Lose -1 Titan. /   BB1231           fe             |
c2:13625,c2,13625,Spartan Wreckage,D:\download\ato2\ATO\assets\exploration-cards\c2\13625.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,SPAR TAR / PARTAN / VVRECKAGE / Gain 4 War Trireme / resources. / @JE® Lose -1 Titan. /   BB1230                                   人
c2:13626,c2,13626,White Trireme,D:\download\ato2\ATO\assets\exploration-cards\c2\13626.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,白色战船 / WHITE TRIREME / Gain 2 War Trireme / resources. / ~~ GIB Gain 3 War Trireme / - resources instead.
c2:13627,c2,13627,Palirroia Trireme,D:\download\ato2\ATO\assets\exploration-cards\c2\13627.png,base-auto,,,,,,,,no,,yes,,on_settle,no,,yes,,1G SW aA / PALIRROIA TRIREME / Gain 3 War Trireme / resources. / JE Gain 4 War Trireme / resources instead. / 、 BB1228            和
c2:13628,c2,13628,Titan,D:\download\ato2\ATO\assets\exploration-cards\c2\13628.png,manual,gain_titan,1,argo_track,,,Gain +1 Titan,,,,yes,,on_settle,no,medium,yes,,"泰坦 / TITAN             , / Gain +1 Titan. / GE Gain +1Qasa / group. / ie CL a ane Cee"
c2:13629,c2,13629,Untamed Titan,D:\download\ato2\ATO\assets\exploration-cards\c2\13629.png,manual,gain_titan,1,argo_track,,,Gain +1 Titan,,,,yes,,on_settle,no,medium,yes,,AR WAR AS ZS t8 / UNTAMED TITAN / Gain +1 Titan. / «GEMM Gain +1Qasa / - group. / Ea a ee nee
c2:13630,c2,13630,Argo Engines,D:\download\ato2\ATO\assets\exploration-cards\c2\13630.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"SABOTAGE: / ARGO ENGINES /                   a) RS 5 | / If you have 2+, lose -1 &. / If this ability didn't trigger, / gain +1]. / ¥€lelSabotage kA / 33) ar / BA / 移出卡组直到下一次定肝战斗 / \BB1244                                       )"
c2:13631,c2,13631,Propylon,D:\download\ato2\ATO\assets\exploration-cards\c2\13631.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"SABOTAGE: / PROPYLON /       山门 / 如果你们有 1+, BEAL / 选择你们的一个阿尔蕊 / FLRE(AA) BHR. ERA! / 企时间表当前10天后记下 / 它的名称，作为事件。 / fPS-KAWARDR, C / 被修复可用。 / If this ability didn't trigger, / gain +1iP. / 洗右Sabotage卡组 / 改为 / 移出上大组直到下一次定肝战斗 /  BB1245"
c2:13632,c2,13632,Triskelion System,D:\download\ato2\ATO\assets\exploration-cards\c2\13632.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"SABOTAGE: / TRISKELION SYSTEM /                       三幅节系统 / If you have 1+{, lose -1 Titan. / _ If this.ability didn't trigger, / gain +1\P. / %# ElSabotage F 28 / 35) or / BA / 移出卡组直到下一次定肝战斗 / 。 BB1246                                       人"
c2:13633,c2,13633,Titan Armory,D:\download\ato2\ATO\assets\exploration-cards\c2\13633.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,"SABOTAGE: / TITAN ARMORY / 泰坦兵工厂 / If you have 2+ iP,                  2 / permanently lose a random ¢ / card from the Argo Armory. / If this ability didn't trigger, / gain +1. / 洗回Sabotage卡组 / 移出上组直到下一次定肝战斗 / , BB1247"
c2:13634,c2,13634,Krypteia Assassination Attempt,D:\download\ato2\ATO\assets\exploration-cards\c2\13634.png,manual,,,,,,,,,,yes,,on_settle,no,,yes,,SABOTAGE: / RRYPTA ASSASSINATION / 。， 克里普提和 “暗杀行动 / ”如果你们有1+引，随机选择 / 一名阿尔戈英雄获得本卡。 / 战斗期间: 每当你掷出关键 / 失手时，一名克里普提上暗杀 / 者攻击了同步浸池。 / 检定力量Fury(8+)。 / KM: (Rash RRR / 将本卡永久移出游戏并结算 / Rude Awakening特殊事件。 / CHEB or GIBB tose -1 > / @ 移出天绍直到 ere / Remove until the next /    BB1248         Timeline Battle.
c2:13635,c2,13635,Ambrosia Spill,D:\download\ato2\ATO\assets\exploration-cards\c2\13635.png,semi,,,,,,,,,,,,on_settle,no,,yes,,神浆泄漏 / AMBROSIA SPILL / 根据你们的不稳定神浆资源数: / 0-15: #RAR SWE. / 16-25: 神浆团四处乱窜，杀 / 死了几名你的船员! 失去-1X. / 26+: 神浆团惯怒地攻击船体! / 失去-1他 并将你们的不稳定 / GED or GI Gain +1 A. / ee | / Remove until the next / ' BB1251    Timeline Battle.
